,x,y,radius,t,folder,datetime
0_110,16277.643339470946,13113.168131472123,32.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_111,16256.840894612353,11820.293307163325,25.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_112,16112.211032977784,12225.70624226609,24.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_113,15993.50438197122,11239.969621186396,24.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_70,15691.438592215098,11880.49032714096,17.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_155,17985.626140547214,14563.814718801452,25.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_115,17918.632637315284,15084.767965163133,25.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_116,17840.27655927992,15277.188604964993,29.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_117,17616.77059683983,14237.364508540571,27.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_118,16882.112081244955,13964.545151815084,24.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
1_120,16788.235347816768,15133.857103615353,23.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_120,16493.53155730364,14603.331617432823,26.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
1_122,15953.552390182178,14221.90154039861,22.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_121,15912.078973346182,14077.595811039137,24.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_122,15904.32656728784,14954.023028694435,21.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_123,15886.089807944407,14569.622851131022,26.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_124,15874.232229624,15294.304166440608,29.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_126,18006.45478024202,20373.48391558722,36.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_129,17591.268757493846,18745.85891053864,26.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_130,17137.21519023102,17912.089050740182,29.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_131,16926.493242790908,20627.941649117947,37.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
1_131,18035.093543154006,23770.843658271548,29.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_132,17310.75023233184,25250.87927473003,25.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_133,17010.8621622666,26001.906158891208,30.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_134,16574.29166222043,25715.002618849125,27.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_135,18457.417634914207,29102.587368208955,29.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_136,18426.82832749643,28926.728450269402,31.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_137,18408.86396530122,27949.60434992754,16.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_138,17710.219778172625,29022.384847304278,28.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_139,16847.844906435043,30897.039549891913,31.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_140,16821.98963450424,29939.272999214965,15.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_141,16542.939650241104,29286.27952868572,31.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_142,16309.554392023032,30863.57188416941,23.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_143,16071.56144444614,28922.3360059985,38.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_144,16055.26359735335,29028.298213401904,31.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_145,18538.77370560713,34813.162821323334,22.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_146,17899.037502589625,39193.0338315752,16.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_147,19383.37358639284,8147.790192192636,15.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_148,18792.830359756113,8323.108756162303,30.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_149,17984.15563729083,9685.992374085938,34.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_150,20039.67582348762,13335.154892991313,29.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_151,19164.229208782574,12452.29878811363,14.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_152,18439.656223667218,12732.73280632206,22.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
1_153,19627.342898926323,16689.935497823626,38.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_153,18792.964639094265,16075.489782415189,31.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_154,18719.175607224224,15201.758074016896,31.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
1_156,18392.00960992842,14585.124444572724,23.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_156,20393.310358829513,18494.8874226151,31.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_157,19788.59503654511,17847.767305071262,21.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_125,18067.495857212525,18656.477773202107,25.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_158,20804.71747423787,24415.58601787792,35.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
0_159,20366.914686948938,21747.53012018409,25.0,1,20201128_0412_Plate39,2020-11-28 04:12:00
